"act.advanceStateD","-1.6076440982175389E13","-1.3177716337340045E13","-1.0711597799769479E13","-7.30457831665745E12","-3.4987113022598076E12","-3.4987113022598076E12","-9.888841531958141E11"
"act.advanceStateA","-1.6621074629066047E13","-9.278408466900174E12","-9.278408466900174E12","-7.305980677625892E12","-6.424574601816561E12","-3.968363655323927E12","-9.8965100375933E11"
"act.advanceStateB","-1.6075518643144035E13","-1.3176809881624834E13","-7.023553670445528E12","-7.023553670445528E12","-6.422901295537836E12","-3.7299126353200693E12","-9.87977697480604E11"
"act.advanceStateX","-1.1932032504677744E13","-1.1932032504677744E13","-1.0758473774324822E13","-7.344092232051513E12","-5.627658482936267E12","-4.639049335963712E12","-9.854124238847373E11"
"act.advanceStateA","-1.7159810891143268E13","-9.28565317727139E12","-9.28565317727139E12","-7.313225291126609E12","-5.63387340874423E12","-4.1760628913045737E12","-9.968956172600474E11"
"act.advanceStateE","-1.6140004474338416E13","-1.1927591350561574E13","-1.03638452284042E13","-8.274200598831838E12","-5.385758622298858E12","-2.1322678599108098E12","-9.809712697613778E11"
"act.advanceStateX","-1.1926821812035428E13","-1.1926821812035428E13","-1.0312727985220844E13","-8.229068566856677E12","-6.415125329641505E12","-3.727296196495487E12","-9.802017304444413E11"
"act.advanceStateC","-1.5596249449713895E13","-1.277000502806267E13","-1.0364197428356459E13","-5.106823230580202E12","-5.106823230580202E12","-4.634960102847564E12","-9.813234697136376E11"
"act.advanceStateA","-1.6151395049134611E13","-9.270551131694969E12","-9.270551131694969E12","-7.298123254300162E12","-6.17797906300594E12","-4.635430576535321E12","-9.817936685541252E11"
"act.advanceStateX","-1.1922250889713863E13","-1.1922250889713863E13","-9.596151689841035E12","-7.944379543953155E12","-6.171816205508755E12","-4.629267735730621E12","-9.756308099171058E11"
"act.advanceStateE","-1.505312832804144E13","-1.230841160078258E13","-9.971456405855064E12","-7.938442730653733E12","-6.165879515156533E12","-2.1209905867671162E12","-9.696939966176844E11"
"act.advanceStateB","-1.5598944313112205E13","-1.3231481990947682E13","-7.024046978494119E12","-7.024046978494119E12","-5.626367065310986E12","-4.637125251081073E12","-9.834883384595928E11"
"act.advanceStateX","-1.1928639442170953E13","-1.1928639442170953E13","-9.602540242247184E12","-8.275248691393716E12","-5.66082579177905E12","-4.635656288136771E12","-9.820193623232567E11"
"act.advanceStateX","-1.1922250889713863E13","-1.1922250889713863E13","-9.596151689841035E12","-7.944379543953155E12","-6.171816205508755E12","-4.629267735730621E12","-9.756308099171058E11"
"act.advanceStateA","-1.5605503982078484E13","-9.269193819128426E12","-9.269193819128426E12","-8.228582155839156E12","-6.414638918668687E12","-3.963525563964068E12","-9.797153194210364E11"
"act.advanceStateB","-1.6145544941245662E13","-1.3236328244220047E13","-7.023910564696883E12","-7.023910564696883E12","-5.351293183199604E12","-4.641971355422249E12","-9.883345917319586E11"
